ID,group,group_high,group_low,site,author_year,title,study_design,sample size,n_high,n_low,n_pre,n_post,outcome_assessment,m_pre,m_post,m_change,md,m_high,m_low,md_high_low,sd_high,sd_low,t,df,cohen d,sd_pre,sd_post,sd_change,pooled_sd,standard_error,lower_ci,upper_ci,smd_effctsize,author,Name,significant,significant direction,direction description,Delete,Country.of.Expirement,Size..n.,Industry.of.Participant,Gender,Nature.Type,Real.Exposure.Type,Exposure.Time..Mins.,Before_COVID,During_COVID,After_COVID,Field,Lab,Survey,Interviews,Stimuli_Visual,Stimuli_Auditory,Stimuli_Tactile,Stimuli_Olfactory,Stimuli_Thermal,Subjective,Objective,Row_ID,dep_var_1,dep_var_2,dep_var_3,dep_var_4,dep_var_5,dep_var_6,dep_var_7,dep_var_8,dep_var_9,assmnt_1,assmnt_2,assmnt_3,assmnt_4,assmnt_5,assmnt_6,assmnt_7,assmnt_8,assmnt_9,phys_assmnt_1,phys_assmnt_2,phys_assmnt_3,phys_assmnt_4,phys_assmnt_5,phys_assmnt_6,phys_assmnt_7,phys_assmnt_8,phys_assmnt_9,Column1,Column2,Column3,Column4,Column5
5,NA,NA,NA,NA,Bianchi et al. (2024),Exploring the Connections Between Nature Exposure and Stress During COVID-19 Using Latent Profile Analysis,Pre-post (Within-subject),NA,NA,NA,419,262,Perceived Stress Scale (PSS-10),17,16,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,7.5,7.600657866,7.600657866,0.469570211,-1.920357614,-0.079642386,-0.131567559,Bianchi et al. (2024),Exploring the Connections Between Nature Exposure and Stress During COVID-19 Using Latent Profile Analysis,NA,NA,NA,NA,United States,603,NA,Mixed,NA,NA,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,1,0,42,Stress,Nature Exposure,NA,NA,NA,NA,NA,NA,NA,Perceived Stress Scale (PSS-10),Self-reported indoor and outdoor nature exposure survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,Bianchi et al. (2024),Exploring the Connections Between Nature Exposure and Stress During COVID-19 Using Latent Profile Analysis,Pre-post (Follow-up),NA,NA,NA,419,155,Perceived Stress Scale (PSS-10),17,16,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,8.8,8.268313008,8.268313008,0.664126883,-2.30168869,0.30168869,-0.120943655,Bianchi et al. (2024),Exploring the Connections Between Nature Exposure and Stress During COVID-19 Using Latent Profile Analysis,NA,NA,NA,NA,United States,603,NA,Mixed,NA,NA,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,1,0,42,Stress,Nature Exposure,NA,NA,NA,NA,NA,NA,NA,Perceived Stress Scale (PSS-10),Self-reported indoor and outdoor nature exposure survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,Elsadek et al. (2024),"High-rise window views: Evaluating the physiological and psychological impacts of green, blue, and built environments",Pre-post (within-subjects),45,NA,NA,NA,NA,"Skin Conductance (SC, μS)",3.09,1.65,-1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.09,0.123693169,NA,0.018439089,-1.476140614,-1.403859386,-11.64171,Elsadek et al. (2024),"High-rise window views: Evaluating the physiological and psychological impacts of green, blue, and built environments",yes,negative,"Reduced stress and anxiety, especially for green and blue views",NA,China,45,Academia,Mixed,Artificial/Virtual,Indirect,4,0,0,1,0,1,0,0,1,0,0,0,0,0,1,52,Anxiety,Relaxation and Comfort,Brain Activity (Alpha Waves),Heart Rate Variability (HRV),Skin Conductance (SC),Skin Temperature (ST),NA,NA,NA,State-Trait Anxiety Inventory (STAI),Modified Semantic Differential (SD) Questionnaire,NA,NA,NA,NA,NA,NA,NA,NA,NA,Electroencephalography (EEG),Photoplethysmography (PPG),Electrodermal Activity (EDA) Sensor,Skin Temperature Sensor,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,green + water,control,NA,Elsadek et al. (2024),"High-rise window views: Evaluating physiological and psychological impacts of green, blue, and built environments",Between-groups (GW vs Control),NA,45,45,NA,NA,EEG Alpha relative power (O1),NA,NA,NA,NA,0.23,0.14,0.09,0.02,0.03,NA,NA,NA,NA,NA,NA,0.025495098,0.005374838,0.079465317,0.100534683,3.530090432,Elsadek et al. (2024),"High-rise window views: Evaluating the physiological and psychological impacts of green, blue, and built environments",yes,negative,"Reduced stress and anxiety, especially for green and blue views",NA,China,45,Academia,Mixed,Artificial/Virtual,Indirect,4,0,0,1,0,1,0,0,1,0,0,0,0,0,1,52,Anxiety,Relaxation and Comfort,Brain Activity (Alpha Waves),Heart Rate Variability (HRV),Skin Conductance (SC),Skin Temperature (ST),NA,NA,NA,State-Trait Anxiety Inventory (STAI),Modified Semantic Differential (SD) Questionnaire,NA,NA,NA,NA,NA,NA,NA,NA,NA,Electroencephalography (EEG),Photoplethysmography (PPG),Electrodermal Activity (EDA) Sensor,Skin Temperature Sensor,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,tropical,control,NA,Fukumoto et al. (2024),The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,Between-groups (Tropical vs. Control),NA,18,18,NA,NA,EEG Alpha wave power (ROI-4),NA,NA,NA,NA,36.39,37.98,-1.59,3.68,4.81,NA,NA,NA,NA,NA,NA,4.282435055,1.427478352,-4.387857569,1.207857569,-0.371284089,Fukumoto et al. (2024),The effects of different designs of indoor biophilic greening on psychological and physiological responses and cognitive performance of office workers,yes,positive,"Japanese design reduced negative affect, while tropical design promoted positive mood states",NA,Japan,18,Office worker,Mixed,Real,Direct,5,0,0,1,0,1,0,0,1,0,0,0,0,1,0,107,Positive and Negative Affect (PANAS),Cognitive Performance,Brain Activity (EEG),NA,NA,NA,NA,NA,NA,Positive and Negative Affect Schedule (PANAS),"Stroop Task, 1-Back, and 2-Back Tasks",NA,NA,NA,NA,NA,NA,NA,NA,NA,Electroencephalogram (EEG),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,Gardening task,mental task (control),NA,Hassan & Deshun (2023),Promoting adult health: the neurophysiological benefits of watering plants and engaging in mental tasks within designed environments,Between-groups (Gardening vs. Mental),NA,25,25,NA,NA,EEG Alpha wave power,NA,NA,NA,NA,28326.92,23618.74,4708.18,2956.05,2501.16,NA,NA,NA,NA,NA,NA,2738.068019,774.4425853,3190.272533,6226.087467,1.719526311,Hassan and Deshun (2023),Promoting adult health: the neurophysiological benefits of watering plants and engaging in mental tasks within designed environments,yes,positive,increased relaxation and cognitive focus,NA,China,50,NA,NA,Real,Direct,15,0,0,1,0,0,0,0,1,0,1,0,0,1,1,48,Brain Activity (Alpha/Beta Waves),Blood Pressure,Anxiety,NA,NA,NA,NA,NA,NA,NA,NA,State-Trait Anxiety Inventory (STAI),NA,NA,NA,NA,NA,NA,Electroencephalography (EEG),Blood Pressure Measurement (Omron HEM-7011),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,Heilmayr & Miller (2021),"Nature Exposure Achieves Comparable Health and Well-Being Improvements as Best Practice, Positive Psychology Interventions",Pre-post (Within-subjects),37,NA,NA,NA,NA,Perceived Stress Scale (PSS-14),2.7,2.55,-0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,0.48,0.44,0.54886246,0.072335554,-0.291777687,-0.008222313,-0.273292511,Heilmayr and Miller (2021),"Nature Exposure Achieves Comparable Health and Well-Being Improvements as Best Practice, Positive Psychology Interventions",yes,positive,improved,NA,United States,104,Academia,"Mostly Female (75%+)
",Real,Direct,120,0,1,0,1,0,1,0,1,0,0,0,0,1,0,50,Physical Health Composite,Well-Being Composite,Stress,Fatigue Composite,Nature Identity Composite,NA,NA,NA,NA,Short Form-36 Health Survey (SF-36),"Comprehensive Inventory of Thriving (CIT), Satisfaction with Life Scale (SWLS)",Perceived Stress Scale (PSS-14),"PROMIS Fatigue Scale, SF-36 Energy Subscale","Environmental Identity Scale, Connectedness to Nature Scale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,forest,plaza,NA,Jin et al. (2022),Attention and Emotion Recovery Effects of Urban Parks during COVID-19—Psychological Symptoms as Moderators,Between-groups (cross-sectional),NA,25,25,NA,NA,Perceived Stress Scale (PSS-10),NA,NA,NA,NA,13.16,12.84,0.32,5.16,5.39,NA,NA,NA,NA,NA,NA,5.276253406,1.492349825,-2.605005657,3.245005657,0.060649096,Jin et al. (2022),Attention and Emotion Recovery Effects of Urban Parks during COVID-19—Psychological Symptoms as Moderators,yes,positive,improvement,NA,China,125,Academia,Mixed,Artificial/Virtual,NA,10,0,1,0,0,1,0,0,1,1,0,0,0,1,1,11,Attention Function,Emotional response,Emotional Arousal,Stress Symptoms,Depressive Symptoms,NA,NA,NA,NA,Backward Digit Span Task (BDS),Emotional Valence,Self-Assessment Manikin Scale (SAM),Perceived Stress Scale (PSS-10),Patient Health Questionnaire (PHQ-9),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,waterside,plaza,NA,Jin et al. (2022),Attention and Emotion Recovery Effects of Urban Parks during COVID-19—Psychological Symptoms as Moderators,Between-groups (cross-sectional),NA,25,25,NA,NA,Perceived Stress Scale (PSS-10),NA,NA,NA,NA,13.48,12.84,0.64,4.1,5.39,NA,NA,NA,NA,NA,NA,4.788637593,1.354431246,-2.014685242,3.294685242,0.133649705,Jin et al. (2022),Attention and Emotion Recovery Effects of Urban Parks during COVID-19—Psychological Symptoms as Moderators,yes,positive,improvement,NA,China,125,Academia,Mixed,Artificial/Virtual,NA,10,0,1,0,0,1,0,0,1,1,0,0,0,1,1,11,Attention Function,Emotional response,Emotional Arousal,Stress Symptoms,Depressive Symptoms,NA,NA,NA,NA,Backward Digit Span Task (BDS),Emotional Valence,Self-Assessment Manikin Scale (SAM),Perceived Stress Scale (PSS-10),Patient Health Questionnaire (PHQ-9),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,lawn,plaza,NA,Jin et al. (2022),Attention and Emotion Recovery Effects of Urban Parks during COVID-19—Psychological Symptoms as Moderators,Between-groups (cross-sectional),NA,25,25,NA,NA,Perceived Stress Scale (PSS-10),NA,NA,NA,NA,14.28,12.84,1.44,4.97,5.39,NA,NA,NA,NA,NA,NA,5.184255009,1.466328749,-1.434004348,4.314004348,0.277764114,Jin et al. (2022),Attention and Emotion Recovery Effects of Urban Parks during COVID-19—Psychological Symptoms as Moderators,yes,positive,improvement,NA,China,125,Academia,Mixed,Artificial/Virtual,NA,10,0,1,0,0,1,0,0,1,1,0,0,0,1,1,11,Attention Function,Emotional response,Emotional Arousal,Stress Symptoms,Depressive Symptoms,NA,NA,NA,NA,Backward Digit Span Task (BDS),Emotional Valence,Self-Assessment Manikin Scale (SAM),Perceived Stress Scale (PSS-10),Patient Health Questionnaire (PHQ-9),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
